session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,churn,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,rad,ret_next,fundamental_gap,surge,crash,normalized_mispricing,bubble_period,bubble_start,shares,cash,wealth_day,rel_wealth,next_avg_price,forecast_err_price,forecast_err_fund,forecast_bias_fund,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,trader_type,gross,session_id,group_label
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,1,4506.0,2600.0,20.0,8.0,,,2600.0,21.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,120,,,100.0,,,,,,0,0,,0,0,20.0,2760.0,5000.0,0.0,38.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,other,0.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,2,4506.0,2600.0,20.0,8.0,,,2875.0,19.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,2.0,-2.0,2.0,0.0,1.0,0.0,3.0,38.0,-74.0,74.0,100.0,7.0,100.0,7.0,112,,,101.5,,0.6607142857142857,1.15625,0.014888612493749953,-0.1875,0,0,-0.6607142857142857,0,0,18.0,3011.0,4883.0,-117.0,101.5,,,,0.011033333333333332,0.0,0.0,0.0,1.0,0.0,other,2.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,3,4506.0,2600.0,20.0,20.0,0.0,0.0,3027.0,19.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,,,1.0,101.5,-2.5,2.5,101.5,101.5,101.5,101.5,104,100.0,,96.0,0.014999999999999902,0.02403846153846154,0.0390625,-0.05571060701400565,-0.0390625,0,0,-0.02403846153846154,0,0,18.0,3371.0,5099.0,-81.0,97.5,1.5234375,1.5,-1.5,0.010923423423423423,0.0,0.0,0.0,1.0,0.0,other,0.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,4,4506.0,2600.0,20.0,20.0,,,3407.0,21.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,0.0,0.0,3.0,0.0,,,2.0,97.5,1.5,1.5,96.0,99.0,99.0,96.0,96,101.5,100.0,88.0,-0.054187192118226646,0.015625,0.0234375,-0.08701137698962924,0.0,0,0,0.015625,0,0,18.0,3731.0,5315.0,-45.0,89.0,,,,0.014417495854063019,0.0,0.0,0.0,1.0,0.0,other,0.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,5,4506.0,2600.0,20.0,4.0,,,3827.0,21.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,0.0,0.0,3.0,0.0,,,2.0,89.0,1.0,1.0,88.0,90.0,90.0,88.0,88,96.0,101.5,75.0,-0.08333333333333337,0.011363636363636364,0.015625,-0.15984870094189674,0.0,0,0,0.011363636363636364,0,0,18.0,3803.0,5243.0,-57.0,79.79333333333334,,,,0.013317610062893082,0.0,0.0,0.0,1.0,0.0,other,0.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,6,4506.0,2600.0,20.0,20.0,72.0,4.0,3911.0,19.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,,,3.0,79.79333333333334,-0.2066666666666682,3.126666666666665,75.0,80.0,84.38,75.0,80,88.0,96.0,75.0,-0.1477272727272727,0.03908333333333332,0.04885416666666664,0.0,-0.078125,0,0,-0.002583333333333293,0,0,18.0,4163.0,5459.0,-21.0,73.0,0.015625,0.0,0.0,0.017285279805352802,0.0,0.0,0.0,1.0,0.0,other,0.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,7,4506.0,2600.0,20.0,4.0,,,4291.0,18.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,,3.0,73.0,1.0,1.6666666666666667,75.0,73.0,75.0,71.0,72,75.0,88.0,67.0,0.0,0.02314814814814815,0.026041666666666668,-0.1127954941453444,0.046875,0,0,0.013888888888888888,0,0,18.0,4235.0,5387.0,-33.0,68.72166666666666,,,,0.016429889298892993,0.0,0.0,0.0,1.0,0.0,other,0.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,8,4506.0,2600.0,20.0,20.0,,,4020.67,23.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,5.0,0.0,5.0,1.0,0.0,1.0,0.0,6.0,68.72166666666666,4.721666666666667,4.721666666666667,67.0,70.0,74.33,65.0,64,75.0,75.0,60.0,-0.10666666666666669,0.07377604166666667,0.07377604166666667,-0.11034805716886531,0.046875,0,0,0.07377604166666663,0,0,23.0,4352.67,5640.67,40.67000000000007,60.51777777777777,,,,0.01983482142857143,0.0,0.0,0.0,1.0,0.0,other,5.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,9,4506.0,2600.0,20.0,0.0,60.0,4.0,4051.51,30.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,7.0,0.0,7.0,0.0,0.0,1.0,0.0,9.0,60.51777777777777,4.517777777777777,4.851111111111111,60.0,60.0,67.16,55.0,56,67.0,75.0,45.0,-0.10447761194029848,0.08662698412698412,0.07579861111111111,-0.2876820724517808,0.0625,0,0,0.0806746031746031,0,0,30.0,3923.51,5363.51,-116.48999999999978,52.833333333333336,0.11197916666666663,0.1875,0.1875,0.017017639902676397,0.0,0.0,0.0,1.0,0.0,other,7.0,20260914,20260914/ghp2
3vx0787i,6hirpk72,0a71a83d-0063-43c4-a639-2831a4759545,72aa3dfe-fedf-4c79-9714-93eeac24dccc,1,ghp,10,4506.0,2600.0,20.0,8.0,,,3811.51,37.0,4406.0,0.5,4,-0.09999999999999998,1,1,20,0,1,1,1,1,1,4.0,0.0,4.0,3.0,0.0,1.0,0.0,9.0,52.833333333333336,4.833333333333333,7.5,45.0,55.5,60.0,45.0,48,60.0,67.0,36.0,-0.25,0.15625,0.1171875,-0.2231435513142097,-0.046875,0,0,0.10069444444444449,0,0,34.0,3955.51,5315.51,-164.48999999999978,36.0,,,,0.018394059205190588,0.0,0.0,0.0,1.0,0.0,other,4.0,20260914,20260914/ghp2
