market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,share_market_maker,repetition,treatment,gamified,hedonic,price_notifications,vol_feedback,vol_fundamental,vol_market_maker,vol_other,vol_speculator,share_vol_market_maker,share_vol_fundamental,share_vol_feedback,share_vol_speculator,share_vol_other,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,rad,ret_next,fundamental_gap,surge,crash,normalized_mispricing,bubble_period,bubble_start,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rv_mid,n_improving_adds,share_improving_adds,volume_shares,eff_spread,rel_eff_spread,realized_spread,rel_realized_spread,price_impact,rel_price_impact,signed_volume,order_flow_imbalance,abs_order_flow_imbalance,n_limit_orders,n_cancels,n_marketable_orders,share_limit_orders,time_to_next_order_s,time_to_same_side_order_s,spread_recovery_s,cancel_to_order,avg_directionality,churn,cum_surge,cum_crash,cum_bubble_period,session_id,group_label
1929c09c-602b-4617-8659-48b1a29c8097,1,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.1780813380536067,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5000.0,22.783217507630468,0.002108333333333333,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,1,ng,0,0,0,3.0,1.0,16.0,0.0,0.0,0.8,0.05,0.15,0.0,0.0,10.0,119.775,-0.225,4.775,126.0,120.0,130.0,95.0,120,,,129.82,,0.03979166666666667,0.074609375,0.029866968653844417,0.09375,0,0,-0.0018749999999999527,0,0,3.011242284764649,0.025415880005495706,2.036028466855273,0.9471866175575945,0.2655682729890897,10.0,0.3333333333333333,10.0,17.375,0.1486935786323182,10.9,0.09797743075063656,6.475,0.05071614788168163,2.0,0.2,0.2,30.0,12.0,10.0,0.75,0.728881,7.802904,3.1207395,0.4,0.6666666666666666,0.33333333333333337,0,0,0,20260520_PM,20260520_PM/ng1
562efb1b-a346-43e9-8059-5c07029ce57e,1,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083434,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5000.0,152.60799454812312,0.0156,,,0.38888888888888884,0.05555555555555555,0.5555555555555555,0.0,0.8333333333333334,1,ghp,1,1,1,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.5,-110.5,110.5,7.0,10.0,12.0,6.0,120,,,61.0,,0.9208333333333333,1.7265625,2.164963715117998,-1.765625,0,0,-0.9208333333333333,0,0,5.765778384464701,0.6669534634752182,2.5224922493174766,0.11540935127085131,0.12367055559655973,1.0,0.06666666666666667,8.0,1.75,0.1871345029239766,2.2,0.2134502923976608,-0.25,-0.02631578947368421,0.0,0.0,0.0,15.0,0.0,8.0,0.6521739130434783,3.5533529999999995,4.455624,4.897373,0.0,0.4333333333333333,0.5666666666666667,0,0,0,20260520_PM,20260520_PM/ghp2
c790e030-d023-437b-b3f5-54393dc4bea4,1,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818532,6.0,-0.19166666666666668,0.0981778431668209,2.0,5000.0,224.4994432064365,0.02266666666666667,,,0.3333333333333333,0.25,0.25,0.16666666666666666,0.5,1,ghp,1,1,1,0.0,6.0,11.0,0.0,1.0,0.6111111111111112,0.3333333333333333,0.0,0.05555555555555555,0.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0.8333333333333334,-0.004824117365491709,0.625,0,0,0.44444444444444453,0,0,37.972124925143255,0.2552894853762614,2.051414999866011,0.7279788773931607,0.3564820695403363,10.0,0.5,9.0,16.875,0.0943359892225311,-17.857142857142858,-0.1054402384189062,35.625,0.1997762276414373,1.0,0.1111111111111111,0.1111111111111111,20.0,9.0,9.0,0.6896551724137931,2.157825,2.915129,5.0523015000000004,0.45,1.0,0.0,0,0,0,20260520_PM,20260520_PM/ghp1
1929c09c-602b-4617-8659-48b1a29c8097,2,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.1780813380536067,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5000.0,202.39544668791325,0.019609999999999985,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,1,ng,0,0,0,6.0,20.0,50.0,0.0,0.0,0.6578947368421053,0.2631578947368421,0.07894736842105263,0.0,0.0,38.0,129.76052631578946,17.760526315789477,17.760526315789477,129.82,129.0,130.0,129.0,112,126.0,,129.9,0.0303174603174603,0.1585761278195489,0.2775082236842106,0.0006160480712313898,0.2784374999999999,0,0,0.15857612781954877,0,0,0.15712531421893922,0.0012108277754868222,4.058883755765529,1.0,0.02758403995597489,41.0,0.4606741573033708,38.0,0.03500000000000706,0.0002698950263897075,-0.050526315789466626,-0.00039154221499923867,0.08552631578947369,0.0006614372413889461,18.0,0.47368421052631576,0.47368421052631576,89.0,27.0,38.0,0.7007874015748031,0.338935,1.226565,0.615362,0.30337078651685395,0.8225308641975309,0.17746913580246915,0,0,0,20260520_PM,20260520_PM/ng1
562efb1b-a346-43e9-8059-5c07029ce57e,2,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083434,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5000.0,143.0734077318353,0.014044444444444444,,,0.38888888888888884,0.05555555555555555,0.5555555555555555,0.0,0.8333333333333334,1,ghp,1,1,1,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,61.0,-51.0,51.0,61.0,55.0,75.0,50.0,112,7.0,,60.0,7.7142857142857135,0.45535714285714285,0.796875,-0.01652930195121094,-0.796875,1,0,-0.45535714285714285,0,0,8.414230161485754,0.13510507108256503,2.0172443817053476,1.0,0.7933440366683334,11.0,0.6111111111111112,5.0,24.0,0.3322068612391193,-5.8,-0.07360931899641576,29.8,0.405816180235535,-3.0,-0.6,0.6,18.0,6.0,5.0,0.782608695652174,2.6435120000000003,3.5845130000000003,21.415168,0.3333333333333333,0.5833333333333333,0.41666666666666674,1,0,0,20260520_PM,20260520_PM/ghp2
c790e030-d023-437b-b3f5-54393dc4bea4,2,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818532,6.0,-0.19166666666666668,0.0981778431668209,2.0,5000.0,544.2136815994244,0.052645666666666646,,,0.3333333333333333,0.25,0.25,0.16666666666666666,0.5,1,ghp,1,1,1,0.0,11.0,14.0,0.0,1.0,0.5384615384615384,0.4230769230769231,0.0,0.038461538461538464,0.0,13.0,162.36846153846153,50.36846153846154,50.36846153846154,159.23,164.54,167.9,155.63,112,160.0,,120.0,-0.004812500000000108,0.4497184065934066,0.7870072115384615,-0.2828579550862891,0.7379687499999998,0,0,0.4497184065934065,0,0,13.176253663297706,0.08529860951005223,2.7918101133364033,1.0,0.1494796995172815,17.0,0.68,13.0,5.518461538461539,0.034905925805114764,2.323076923076931,0.015030102391139862,3.1953846153846084,0.0198758234139749,1.0,0.07692307692307693,0.07692307692307693,25.0,11.0,13.0,0.6578947368421053,3.2094625,6.052548,4.1913635,0.44,0.9,0.09999999999999998,0,0,0,20260520_PM,20260520_PM/ghp1
1929c09c-602b-4617-8659-48b1a29c8097,3,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.1780813380536067,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5180.0,109.00990358678439,0.00918425568425569,130.0,67.52308247308225,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,1,ng,0,0,0,0.0,1.0,35.0,0.0,0.0,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,18.0,129.88944444444442,25.889444444444436,25.889444444444436,129.9,129.89,129.92,129.87,104,129.82,126.0,129.92,0.0006162378678171709,0.24893696581196573,0.4045225694444443,0.00015395273681395594,0.4046875000000001,0,0,0.2489369658119656,0,0,0.022363756731231428,0.00017216262535489258,16.606890739048012,1.0,0.00035071585305842016,9.0,0.1111111111111111,18.0,0.01166666666666553,8.981876849515361e-05,0.004444444444446718,3.42082606788193e-05,0.007222222222218811,5.56105078163343e-05,2.0,0.1111111111111111,0.1111111111111111,81.0,33.0,18.0,0.8181818181818182,0.6877835,1.872201,0.229486,0.4074074074074074,0.6555555555555556,0.34444444444444444,0,0,0,20260520_PM,20260520_PM/ng1
562efb1b-a346-43e9-8059-5c07029ce57e,3,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083434,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5180.0,166.09304621205553,0.015717503217503218,0.0,40.824829046386306,0.38888888888888884,0.05555555555555555,0.5555555555555555,0.0,0.8333333333333334,1,ghp,1,1,1,2.0,0.0,20.0,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,11.0,64.5909090909091,-39.40909090909091,39.40909090909091,60.0,65.0,69.0,59.0,104,61.0,7.0,61.0,-0.016393442622950838,0.3789335664335664,0.6157670454545454,0.01652930195121094,-0.6875,0,0,-0.3789335664335664,0,0,1.9424297893608158,0.029779203534763644,2.033098279896028,1.0,0.1464049206240252,14.0,0.45161290322580644,11.0,4.25,0.06762791039903583,3.6872727272727275,0.0581628736052614,0.5627272727272725,0.00946503679377444,3.0,0.2727272727272727,0.2727272727272727,31.0,6.0,11.0,0.7380952380952381,0.98166,1.2929845,1.720855,0.1935483870967742,0.5436507936507936,0.4563492063492064,1,0,0,20260520_PM,20260520_PM/ghp2
c790e030-d023-437b-b3f5-54393dc4bea4,3,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818532,6.0,-0.19166666666666668,0.0981778431668209,2.0,5180.0,464.1807339388394,0.04095034320034317,0.0,48.98979485566356,0.3333333333333333,0.25,0.25,0.16666666666666666,0.5,1,ghp,1,1,1,0.0,2.0,11.0,1.0,0.0,0.7857142857142857,0.14285714285714285,0.0,0.0,0.07142857142857142,7.0,144.33857142857144,40.33857142857143,40.33857142857143,120.0,153.04,153.04,120.0,104,159.23,160.0,82.88,-0.24637317088488342,0.3878708791208791,0.6302901785714285,-0.37009796427087327,0.25,0,0,0.38787087912087925,0,0,33.22461202211362,0.3119578956934478,2.039671351737819,1.0,0.39864966566815585,10.0,0.7692307692307693,7.0,14.310000000000002,0.10173796566718954,6.2028571428571455,0.04810321517875737,8.107142857142858,0.05363475048843218,-1.0,-0.14285714285714285,0.14285714285714285,13.0,9.0,7.0,0.65,3.971922,5.2302555,7.629571,0.6923076923076923,0.74,0.26,0,0,0,20260520_PM,20260520_PM/ghp1
1929c09c-602b-4617-8659-48b1a29c8097,4,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.1780813380536067,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5360.0,527.3945855998137,0.04534836235489215,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,1,ng,0,0,0,3.0,34.0,43.0,0.0,0.0,0.5375,0.425,0.0375,0.0,0.0,40.0,129.88725,33.88724999999999,33.88724999999999,129.92,129.89,129.92,129.81,96,129.9,129.82,129.9,0.0001539645881445395,0.3529921874999999,0.5294882812499998,-0.00015395273681395594,0.5299999999999998,0,0,0.35299218749999994,0,0,0.02070282840535647,0.00015932456428205632,3.3301982977760725,1.0,0.0008942872569930282,12.0,0.1875,40.0,0.017999999999996418,0.00013858991588160883,0.010500000000006083,8.085956865571062e-05,0.0074999999999903364,5.7730347225898226e-05,-26.0,-0.65,0.65,64.0,19.0,40.0,0.6153846153846154,0.6455175,0.895832,0.287533,0.296875,0.8095238095238094,0.19047619047619058,0,0,0,20260520_PM,20260520_PM/ng1
