market_uuid,trades,avg_mispricing,abs_mispricing,amr,bubbles,surges,crashes,group_label,treatment,repetition,gamified,hedonic,price_notifications,session_id,RAD,RD,turnover,n_adds,n_cancels,orders_per_trade,cancel_share,intraday_share,interday_share,net_share,churn_ratio,abs_rep_net,hot_potato_share,top2_share,hhi,n_active,tw_quoted_spread,tw_rel_spread,med_rel_spread,tw_depth,tw_two_sided,eff_spread_med,eff_spread_mean,pretrade_rel_spread_med,pretrade_depth_mean,impact_med,impact_mean,share_buy_aggr,n_priced,flow_imbalance
04d50e49-bd58-4a7b-bf5a-9059d667defe,90.0,-1.2372878306878319,14.546356613756613,0.2907692500400833,0,0,0,20260826/ng2,ng,2,0,0,0,20260826,0.22601367394179891,-0.019332622354497397,1.0,184,93,2.0444444444444443,0.5054347826086957,0.03333333333333333,0.5111111111111111,0.45555555555555555,2.1951219512195124,82.0,0.4222222222222222,0.47777777777777775,0.18882716049382714,6,6.63555753056649,0.2592898631625668,0.13333333333333333,2.0645269321046102,0.5545260647393473,0.03206291591046589,0.09950641701686172,0.06412583182093155,2.5,0.0022299207581730667,0.034335485116772764,0.4,53,0.8074074074074074
17f3bde5-9e00-47d0-8909-b138b266b325,83.0,0.23864795918367346,6.763215058750773,0.14209340262911688,0,0,0,20260512/ng1,ng,1,0,0,0,20260512,0.08591956313775509,0.003728874362244896,0.9222222222222223,243,107,2.927710843373494,0.4403292181069959,0.1927710843373494,0.37349397590361444,0.43373493975903615,2.3055555555555554,72.0,0.43373493975903615,0.4457831325301205,0.18275511685295398,6,10.809852251794522,0.22481407774048037,0.2222222222222222,3.1849695738011583,0.9877677734614267,0.15521855486173058,0.1389556008259031,0.31043710972346117,2.9879518072289155,0.01129979570990807,0.043377904270758105,0.3614457831325301,82,0.695856524427953
468bae16-01fa-4b28-8367-2b7fc01e7aa7,154.0,9.262250398724083,21.27256441609073,0.3589945856166251,0,0,0,20260826/ghp2,ghp,1,1,1,1,20260826,0.3307634486310473,0.14472266248006374,1.711111111111111,388,200,2.5194805194805197,0.5154639175257731,0.05844155844155844,0.551948051948052,0.38961038961038963,2.566666666666667,120.0,0.42857142857142855,0.5454545454545454,0.22980266486759993,6,25.62021157164837,0.24731407021248894,0.11794228356336262,2.9103346768471687,0.765789819648121,0.034482758620689655,0.05972580365136908,0.06896551724137931,5.525974025974026,0.0016638935108152725,0.04661238613242454,0.4805194805194805,143,0.5012068048910154
520e90a9-5e9e-4bfa-8244-34e70674e93f,106.0,1.4936041606541608,5.357117388167388,0.17235548984194812,1,0,0,20260512/ghp1,ghp,2,1,1,1,20260512,0.07350125548641179,0.02333756501022129,1.1777777777777778,321,209,3.0283018867924527,0.6510903426791277,0.29245283018867924,0.16037735849056603,0.5471698113207547,1.8275862068965518,116.0,0.41509433962264153,0.6037735849056604,0.23282306870772515,6,3.98808635837475,0.06698555212285111,0.05217391304347826,2.2264751233089193,0.9668334699295886,0.01373500913350808,0.025440824486803938,0.02747001826701616,2.207547169811321,0.009169366205890303,0.01980589252274589,0.41509433962264153,104,0.32123136123136126
5273b4e4-2b4f-47fa-834f-bd0d84d237b0,74.0,2.7875850340136057,4.085799319727891,0.19636891506311147,1,1,0,20260512/ng1,ng,2,0,0,0,20260512,0.05229857568027209,0.043556016156462526,0.8222222222222222,360,195,4.864864864864865,0.5416666666666666,0.17567567567567569,0.14864864864864866,0.6756756756756757,1.48,100.0,0.1891891891891892,0.43243243243243246,0.19037618699780862,6,6.074791132117467,0.09432132257829187,0.0926796507723305,3.032241779052218,0.9989656872690496,0.02552868380840989,0.03376094961143095,0.05105736761681978,2.9054054054054053,0.008989898989898989,0.018706627231332436,0.16216216216216217,74,0.819047619047619
55ae4144-efe9-4ac1-adff-7ef37ab172bb,109.0,3.99508771043771,5.125855387205387,0.06820309847805109,0,0,0,20260826/ghp2,ghp,2,1,1,1,20260826,0.07742324547558921,0.06242324547558924,1.211111111111111,409,293,3.7522935779816513,0.7163814180929096,0.1651376146788991,0.24770642201834864,0.5871559633027523,1.703125,128.0,0.23853211009174313,0.5825688073394495,0.22228768622169853,6,4.54731762137376,0.06959764253995648,0.03582718651211802,2.576144378112869,0.7758129781037655,0.011583011583011582,0.025303170079414718,0.023166023166023165,2.770642201834862,0.0056342051802945655,0.013786564339041792,0.3761467889908257,95,0.3887445887445888
562efb1b-a346-43e9-8059-5c07029ce57e,228.0,-3.643954251300815,35.1479282905582,1.117610769941273,1,1,0,20260520_PM/ghp2,ghp,1,1,1,1,20260520_PM,0.5490417036140459,-0.0569367851765753,2.533333333333333,619,195,2.7149122807017543,0.3150242326332795,0.36403508771929827,0.44298245614035087,0.19298245614035087,5.181818181818182,88.0,0.6842105263157895,0.5657894736842105,0.21329639889196675,6,3.041796515711196,0.05185229398419397,0.005767097966728078,3.060951776674029,0.9295093857911685,0.004017962656582296,0.013265811952995426,0.008035925313164705,3.1710526315789473,0.0007696082974507236,0.0058408565086104855,0.5,222,0.34896690570065186
726a00be-8059-48c7-903b-975c7adfccb7,122.0,26.60067857142857,26.727853174603176,1.093747485860333,2,0,0,20260826/ghp1,ghp,2,1,1,1,20260826,0.4156356026785714,0.4156356026785714,1.3555555555555556,258,129,2.1147540983606556,0.5,0.09836065573770492,0.4016393442622951,0.5,2.0,122.0,0.32786885245901637,0.5,0.19668771835528082,6,2.6129592851731496,0.030986972771465608,0.022878124558678214,1.9727743797618542,0.8567647686334456,0.008700237279198553,0.010523846754167353,0.017400474558397105,1.9754098360655739,0.004699129950608854,0.007943904880313785,0.2786885245901639,111,0.5655555555555555
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,164.0,1.6062591260591264,2.607052776852777,0.05355953191751264,0,0,0,20260826/gh1,gh,1,1,1,0,20260826,0.036444525035150034,0.025097798844673846,1.8222222222222222,507,304,3.091463414634146,0.5996055226824457,0.14634146341463414,0.5548780487804879,0.29878048780487804,3.3469387755102042,98.0,0.573170731707317,0.5975609756097562,0.22707837596668648,6,12.416474642879097,0.14784900155389769,0.0436762816769823,9.26870229707309,0.8801587613426655,0.01675977653631285,0.06045587038849427,0.0335195530726257,10.841463414634147,0.0010701863907964376,0.024882049311066762,0.24390243902439024,147,0.6624519924519924
7639dc96-fd01-4576-8cdc-79c9d30dcd81,130.0,7.979152399939242,16.362388004101163,0.2518881946635236,0,1,3,20260520_PM/ghp1,ghp,2,1,1,1,20260520_PM,0.24921136333969388,0.12467425624905068,1.4444444444444444,337,175,2.5923076923076924,0.5192878338278932,0.14615384615384616,0.5692307692307692,0.2846153846153846,3.5135135135135136,74.0,0.6,0.5769230769230769,0.23236686390532546,6,27.74186060186137,0.3820445492779711,0.3333333333333333,3.3954351655647788,0.9234009131114134,0.1111111111111111,0.11578709444678585,0.2222222222222222,3.330769230769231,0.04932432432432433,0.06966412408104629,0.6461538461538462,121,0.49767486899065844
