session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,churn,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,rad,ret_next,fundamental_gap,surge,crash,normalized_mispricing,bubble_period,bubble_start,shares,cash,wealth_day,rel_wealth,next_avg_price,forecast_err_price,forecast_err_fund,forecast_bias_fund,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,trader_type,gross,session_id,group_label
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,1,5440.0,3800.0,10.0,4.0,,,4040.0,8.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,2.0,-2.0,0.0,0.0,1.0,0.0,12.0,121.91833333333334,1.918333333333332,1.918333333333332,124.82,120.0,125.0,120.0,120,,,125.07,,0.0159861111111111,0.02997395833333331,0.0020008810549185796,0.0753124999999999,0,0,0.01598611111111114,0,0,8.0,4072.0,4968.0,28.0,124.55999999999999,,,,0.0030913180386864404,1.0,0.0,0.0,0.0,0.0,feedback,2.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,2,5440.0,3800.0,10.0,20.0,,,4072.0,8.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,1.0,0.0,,,10.0,124.55999999999999,12.559999999999997,12.559999999999997,125.07,124.63,125.07,124.25,112,124.82,,124.1,0.0020028841531805064,0.11214285714285711,0.19624999999999995,-0.0077858883502539555,0.2042187499999999,0,0,0.11214285714285703,0,0,8.0,4232.0,5064.0,-56.0,124.63285714285713,,,,0.003941623263888882,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,3,5440.0,3800.0,10.0,0.0,124.0,2.0,4107.37,9.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,124.63285714285713,20.63285714285714,20.63285714285714,124.1,125.0,125.0,124.07,104,125.07,124.82,122.0,-0.0077556568321739405,0.19839285714285712,0.3223883928571428,-0.017066647477304464,0.3140624999999999,0,0,0.19839285714285707,0,0,9.0,4107.37,4971.37,-28.63000000000011,123.09571428571428,0.014129464285714377,0.4375,0.4375,0.01343988888888889,1.0,0.0,0.0,0.0,0.0,feedback,1.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,4,5440.0,3800.0,10.0,0.0,,,3985.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,123.09571428571428,27.095714285714283,27.095714285714283,122.0,124.1,124.1,122.0,96,124.1,125.07,115.0,-0.01692183722804186,0.28224702380952377,0.4233705357142857,-0.05908891637000657,0.40625,0,0,0.28224702380952377,0,0,10.0,3985.37,4865.37,-14.63000000000011,115.0,,,,0.030333674863388,1.0,0.0,0.0,0.0,0.0,feedback,1.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,5,5440.0,3800.0,10.0,8.0,,,3985.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,,2.0,115.0,27.0,27.0,115.0,115.0,115.0,115.0,88,122.0,124.1,90.0,-0.05737704918032782,0.3068181818181818,0.421875,-0.24512245803298516,0.421875,0,0,0.3068181818181818,0,0,10.0,4065.37,4865.37,-14.63000000000011,90.0,,,,0.02879678961748636,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,6,5440.0,3800.0,10.0,4.0,81.0,1.0,4065.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,,1.0,90.0,10.0,10.0,90.0,90.0,90.0,90.0,80,115.0,122.0,66.0,-0.21739130434782605,0.125,0.15625,-0.31015492830383984,0.15625,0,0,0.125,0,0,10.0,4105.37,4825.37,5.369999999999891,69.33333333333333,0.18229166666666674,0.140625,0.140625,0.03374262332872294,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,7,5440.0,3800.0,10.0,4.0,,,4035.37,11.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,69.33333333333333,-2.6666666666666665,2.6666666666666665,66.0,70.0,70.0,66.0,72,90.0,115.0,20.0,-0.2666666666666667,0.037037037037037035,0.041666666666666664,-1.1939224684724343,-0.09375,0,0,-0.037037037037037104,0,0,11.0,4079.37,4783.37,23.36999999999989,39.888888888888886,,,,0.03890651260504204,1.0,0.0,0.0,0.0,0.0,feedback,1.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,8,5440.0,3800.0,10.0,4.0,,,4079.37,12.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,1.0,1.0,,,9.0,39.888888888888886,-24.11111111111111,24.11111111111111,20.0,53.0,53.0,20.0,64,66.0,90.0,35.0,-0.696969696969697,0.3767361111111111,0.3767361111111111,0.5596157879354227,-0.6875,0,0,-0.37673611111111116,0,0,11.0,4123.37,4739.37,39.36999999999989,35.9,,,,0.048989479905437346,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,9,5440.0,3800.0,10.0,20.0,35.0,2.0,4127.37,11.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,,7.0,35.9,-20.099999999999998,20.099999999999998,35.0,35.0,37.0,35.0,56,20.0,66.0,31.0,0.75,0.3589285714285714,0.31406249999999997,-0.12136085700426724,-0.328125,0,0,-0.35892857142857143,0,0,11.0,4343.37,4871.37,-8.63000000000011,32.0,0.046875,0.203125,-0.203125,0.0475004553734062,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,10,5440.0,3800.0,10.0,8.0,,,4347.37,12.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,1.0,1.0,,,2.0,32.0,-16.0,16.0,31.0,33.0,33.0,31.0,48,35.0,20.0,15.0,-0.11428571428571432,0.3333333333333333,0.25,-0.7259370033829362,-0.265625,0,0,-0.3333333333333333,0,0,11.0,4431.37,4871.37,-8.63000000000011,23.833333333333332,,,,0.04859335154826959,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,11,5440.0,3800.0,10.0,8.0,,,4458.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,3.0,23.833333333333332,-16.166666666666668,16.166666666666668,15.0,32.0,32.0,15.0,40,31.0,35.0,14.0,-0.5161290322580645,0.4041666666666667,0.2526041666666667,-0.06899287148695166,-0.390625,0,0,-0.4041666666666667,0,0,10.0,4526.37,4846.37,-33.63000000000011,15.056000000000001,,,,0.049917349726775966,1.0,0.0,0.0,0.0,0.0,feedback,1.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,12,5440.0,3800.0,10.0,0.0,10.0,1.0,4582.37,7.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,3.0,-3.0,1.0,1.0,1.0,0.0,5.0,15.056000000000001,-16.944,16.944,14.0,15.0,17.28,14.0,32,15.0,31.0,11.0,-0.06666666666666665,0.5295,0.26475,-0.24116205681688774,-0.28125,0,0,-0.5295,0,0,7.0,4570.37,4738.37,-21.63000000000011,11.0,0.015625,0.21875,-0.21875,0.054921685340802995,1.0,0.0,0.0,0.0,0.0,feedback,3.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,13,5440.0,3800.0,10.0,8.0,,,4582.37,9.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,2.0,0.0,,,1.0,11.0,-13.0,13.0,11.0,11.0,11.0,11.0,24,14.0,15.0,7.5,-0.2142857142857143,0.5416666666666666,0.203125,-0.382992252256106,-0.203125,0,0,-0.5416666666666666,0,0,7.0,4626.37,4738.37,-21.63000000000011,7.833333333333333,,,,0.055528594771241835,1.0,0.0,0.0,0.0,0.0,feedback,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,14,5440.0,3800.0,10.0,4.0,,,4677.37,5.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,3.0,-3.0,1.0,0.0,1.0,0.0,9.0,7.833333333333333,-8.166666666666666,8.166666666666666,7.5,8.0,8.0,7.0,16,11.0,14.0,5.0,-0.31818181818181823,0.5104166666666666,0.12760416666666666,-0.4054651081081644,-0.1328125,0,0,-0.5104166666666667,0,0,4.0,4665.37,4697.37,-2.630000000000109,7.388888888888889,,,,0.05755543735224586,1.0,0.0,0.0,0.0,0.0,feedback,3.0,20260826,20260826/ng2
